val_loss,val_accuracy,loss,accuracy
0.31889959329939416,0.8689707517623901,0.7689741197711744,0.71306497
0.2967106068582531,0.8796049952507019,0.4792628138182148,0.86109
0.26825181505456425,0.8963159918785095,0.421822030678748,0.8813141
0.3470411802193895,0.8556779623031616,0.4007861215127452,0.88824534
0.3383496890740842,0.8552981615066528,0.37563729742340296,0.8965059
0.3152935505026518,0.865172803401947,0.3544577212782808,0.90438664
0.2625176185070676,0.8917584419250488,0.34688652094851147,0.90770984
0.2582151113729535,0.8944169878959656,0.3361209082798137,0.907425
0.2798508504102133,0.8837827444076538,0.3189213758089042,0.91236234
0.2724999878520165,0.8921382427215576,0.31032870199985485,0.9152108
0.3276063026786077,0.8598556518554688,0.2950331230060347,0.91805923
0.276066893781721,0.8868210911750793,0.28979755642067284,0.9228067
0.2524765813266919,0.8951765894889832,0.2724490206175053,0.925845
0.2541621683998068,0.8974553942680359,0.258456448573397,0.9292632
0.25249955792969003,0.8985947370529175,0.24558214997774377,0.93182683
